cod_distrito,distrito,cod_barrio,barrio,año,unidad_indicador,indicador_completo,valor_indicador
4.0,Salamanca,43.0,Fuente del Berro,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"251,5716631"
4.0,Salamanca,43.0,Fuente del Berro,2023,Habitantes,Número Habitantes,21449
4.0,Salamanca,43.0,Fuente del Berro,2023,Hogares,Total hogares,9345
4.0,Salamanca,44.0,Guindalera,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"267,6877964"
4.0,Salamanca,44.0,Guindalera,2023,Habitantes,Número Habitantes,42905
4.0,Salamanca,44.0,Guindalera,2023,Hogares,Total hogares,18143
4.0,Salamanca,45.0,Lista,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"413,4179162"
4.0,Salamanca,45.0,Lista,2023,Habitantes,Número Habitantes,21506
4.0,Salamanca,45.0,Lista,2023,Hogares,Total hogares,9340
4.0,Salamanca,46.0,Castellana,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"228,7561417"
4.0,Salamanca,46.0,Castellana,2023,Habitantes,Número Habitantes,17692
4.0,Salamanca,46.0,Castellana,2023,Hogares,Total hogares,7054
5.0,Chamartín,51.0,El Viso,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"102,6503627"
5.0,Chamartín,51.0,El Viso,2023,Habitantes,Número Habitantes,17545
5.0,Chamartín,51.0,El Viso,2023,Hogares,Total hogares,6195
5.0,Chamartín,52.0,Prosperidad,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"355,3600615"
5.0,Chamartín,52.0,Prosperidad,2023,Habitantes,Número Habitantes,36961
5.0,Chamartín,52.0,Prosperidad,2023,Hogares,Total hogares,16211
5.0,Chamartín,53.0,Ciudad Jardín,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"248,3011938"
5.0,Chamartín,53.0,Ciudad Jardín,2023,Habitantes,Número Habitantes,18928
5.0,Chamartín,53.0,Ciudad Jardín,2023,Hogares,Total hogares,8148
5.0,Chamartín,54.0,Hispanoamérica,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"186,9430657"
5.0,Chamartín,54.0,Hispanoamérica,2023,Habitantes,Número Habitantes,32014
5.0,Chamartín,54.0,Hispanoamérica,2023,Hogares,Total hogares,12547
5.0,Chamartín,55.0,Nueva España,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"139,8972124"
5.0,Chamartín,55.0,Nueva España,2023,Habitantes,Número Habitantes,25043
5.0,Chamartín,55.0,Nueva España,2023,Hogares,Total hogares,9275
5.0,Chamartín,56.0,Castilla,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"81,5250081"
5.0,Chamartín,56.0,Castilla,2023,Habitantes,Número Habitantes,17620
5.0,Chamartín,56.0,Castilla,2023,Hogares,Total hogares,6757
6.0,Tetuán,61.0,Bellas Vistas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"426,8875839"
6.0,Tetuán,61.0,Bellas Vistas,2024,Habitantes,Número Habitantes,30531
6.0,Tetuán,61.0,Bellas Vistas,2023,Hogares,Total hogares,12185
6.0,Tetuán,62.0,Cuatro Caminos,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"301,4599156"
6.0,Tetuán,62.0,Cuatro Caminos,2024,Habitantes,Número Habitantes,35723
6.0,Tetuán,62.0,Cuatro Caminos,2023,Hogares,Total hogares,15324
6.0,Tetuán,63.0,Castillejos,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"301,6319001"
6.0,Tetuán,63.0,Castillejos,2024,Habitantes,Número Habitantes,21256
6.0,Tetuán,63.0,Castillejos,2023,Hogares,Total hogares,9525
6.0,Tetuán,64.0,Almenara,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"241,0446268"
6.0,Tetuán,64.0,Almenara,2024,Habitantes,Número Habitantes,24090
6.0,Tetuán,64.0,Almenara,2023,Hogares,Total hogares,9560
6.0,Tetuán,65.0,Valdeacederas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"238,9375967"
6.0,Tetuán,65.0,Valdeacederas,2024,Habitantes,Número Habitantes,27798
6.0,Tetuán,65.0,Valdeacederas,2023,Hogares,Total hogares,11061
6.0,Tetuán,66.0,Berruguete,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"441,6570581"
6.0,Tetuán,66.0,Berruguete,2024,Habitantes,Número Habitantes,26813
6.0,Tetuán,66.0,Berruguete,2023,Hogares,Total hogares,10656
7.0,Chamberí,71.0,Gaztambide,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"464,6199408"
7.0,Chamberí,71.0,Gaztambide,2024,Habitantes,Número Habitantes,23533
7.0,Chamberí,71.0,Gaztambide,2023,Hogares,Total hogares,10610
7.0,Chamberí,72.0,Arapiles,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"431,1829817"
7.0,Chamberí,72.0,Arapiles,2024,Habitantes,Número Habitantes,24931
7.0,Chamberí,72.0,Arapiles,2023,Hogares,Total hogares,11347
