cod_distrito,distrito,cod_barrio,barrio,año,unidad_indicador,indicador_completo,valor_indicador
15.0,Ciudad Lineal,159.0,Costillares,2024,Habitantes,Número Habitantes,22299
15.0,Ciudad Lineal,159.0,Costillares,2023,Hogares,Total hogares,8107
16.0,Hortaleza,161.0,Palomas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"65,66242515"
16.0,Hortaleza,161.0,Palomas,2024,Habitantes,Número Habitantes,7018
16.0,Hortaleza,161.0,Palomas,2023,Hogares,Total hogares,2300
16.0,Hortaleza,162.0,Piovera,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"49,22601605"
16.0,Hortaleza,162.0,Piovera,2024,Habitantes,Número Habitantes,15455
16.0,Hortaleza,162.0,Piovera,2023,Hogares,Total hogares,5025
16.0,Hortaleza,163.0,Canillas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"160,3171457"
16.0,Hortaleza,163.0,Canillas,2024,Habitantes,Número Habitantes,40440
16.0,Hortaleza,163.0,Canillas,2023,Hogares,Total hogares,16218
16.0,Hortaleza,164.0,Pinar del Rey,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"200,0637947"
16.0,Hortaleza,164.0,Pinar del Rey,2024,Habitantes,Número Habitantes,53313
16.0,Hortaleza,164.0,Pinar del Rey,2023,Hogares,Total hogares,21565
16.0,Hortaleza,165.0,Apóstol Santiago,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"131,4579703"
16.0,Hortaleza,165.0,Apóstol Santiago,2024,Habitantes,Número Habitantes,15842
16.0,Hortaleza,165.0,Apóstol Santiago,2023,Hogares,Total hogares,5881
16.0,Hortaleza,166.0,Valdefuentes,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"42,94432404"
16.0,Hortaleza,166.0,Valdefuentes,2024,Habitantes,Número Habitantes,73114
16.0,Hortaleza,166.0,Valdefuentes,2023,Hogares,Total hogares,23751
17.0,Villaverde,171.0,"Villaverde Alto, Casco Histórico de Villaverde",2024,Habitantes/Ha.,Población densidad (hab./Ha.),"54,32048068"
17.0,Villaverde,171.0,"Villaverde Alto, Casco Histórico de Villaverde",2024,Habitantes,Número Habitantes,50266
17.0,Villaverde,171.0,"Villaverde Alto, Casco Histórico de Villaverde",2023,Hogares,Total hogares,16874
17.0,Villaverde,172.0,San Cristóbal,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"174,3187067"
17.0,Villaverde,172.0,San Cristóbal,2024,Habitantes,Número Habitantes,18870
17.0,Villaverde,172.0,San Cristóbal,2023,Hogares,Total hogares,5220
17.0,Villaverde,173.0,Butarque,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"35,09528664"
17.0,Villaverde,173.0,Butarque,2024,Habitantes,Número Habitantes,22375
17.0,Villaverde,173.0,Butarque,2023,Hogares,Total hogares,7464
17.0,Villaverde,174.0,Los Rosales,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"257,3375738"
17.0,Villaverde,174.0,Los Rosales,2024,Habitantes,Número Habitantes,39648
17.0,Villaverde,174.0,Los Rosales,2023,Hogares,Total hogares,13365
17.0,Villaverde,175.0,Ángeles,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"190,1152276"
17.0,Villaverde,175.0,Ángeles,2024,Habitantes,Número Habitantes,36793
17.0,Villaverde,175.0,Ángeles,2023,Hogares,Total hogares,13423
18.0,Villa de Vallecas,181.0,Casco Histórico de Vallecas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"9,753309839"
18.0,Villa de Vallecas,181.0,Casco Histórico de Vallecas,2024,Habitantes,Número Habitantes,41984
18.0,Villa de Vallecas,181.0,Casco Histórico de Vallecas,2023,Hogares,Total hogares,15035
18.0,Villa de Vallecas,182.0,Santa Eugenia,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"116,1811364"
18.0,Villa de Vallecas,182.0,Santa Eugenia,2024,Habitantes,Número Habitantes,24168
18.0,Villa de Vallecas,182.0,Santa Eugenia,2023,Hogares,Total hogares,9075
18.0,Villa de Vallecas,183.0,Ensanche de Vallecas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"88,6045008"
18.0,Villa de Vallecas,183.0,Ensanche de Vallecas,2024,Habitantes,Número Habitantes,56185
18.0,Villa de Vallecas,183.0,Ensanche de Vallecas,2023,Hogares,Total hogares,20925
19.0,Vicálvaro,191.0,Casco Histórico de Vicálvaro,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"17,22232044"
19.0,Vicálvaro,191.0,Casco Histórico de Vicálvaro,2024,Habitantes,Número Habitantes,37018
19.0,Vicálvaro,191.0,Casco Histórico de Vicálvaro,2023,Hogares,Total hogares,13509
19.0,Vicálvaro,192.0,Valdebernardo,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"69,24582208"
19.0,Vicálvaro,192.0,Valdebernardo,2024,Habitantes,Número Habitantes,17693
19.0,Vicálvaro,192.0,Valdebernardo,2023,Hogares,Total hogares,6137
19.0,Vicálvaro,193.0,Valderrivas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"277,7985075"
19.0,Vicálvaro,193.0,Valderrivas,2024,Habitantes,Número Habitantes,17868
19.0,Vicálvaro,193.0,Valderrivas,2023,Hogares,Total hogares,6328
19.0,Vicálvaro,194.0,El Cañaveral,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"16,25923229"
19.0,Vicálvaro,194.0,El Cañaveral,2024,Habitantes,Número Habitantes,17193
19.0,Vicálvaro,194.0,El Cañaveral,2023,Hogares,Total hogares,5169
20.0,San Blas-Canillejas,201.0,Simancas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"132,4869305"
20.0,San Blas-Canillejas,201.0,Simancas,2024,Habitantes,Número Habitantes,30158
20.0,San Blas-Canillejas,201.0,Simancas,2023,Hogares,Total hogares,11275
20.0,San Blas-Canillejas,202.0,Hellín,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"180,9843807"
20.0,San Blas-Canillejas,202.0,Hellín,2024,Habitantes,Número Habitantes,9965
20.0,San Blas-Canillejas,202.0,Hellín,2023,Hogares,Total hogares,3696
20.0,San Blas-Canillejas,203.0,Amposta,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"263,3441383"
20.0,San Blas-Canillejas,203.0,Amposta,2024,Habitantes,Número Habitantes,9749
20.0,San Blas-Canillejas,203.0,Amposta,2023,Hogares,Total hogares,3471
20.0,San Blas-Canillejas,204.0,Arcos,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"201,3484523"
20.0,San Blas-Canillejas,204.0,Arcos,2024,Habitantes,Número Habitantes,26280
20.0,San Blas-Canillejas,204.0,Arcos,2023,Hogares,Total hogares,9317
20.0,San Blas-Canillejas,205.0,Rosas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"33,17162373"
20.0,San Blas-Canillejas,205.0,Rosas,2024,Habitantes,Número Habitantes,30838
20.0,San Blas-Canillejas,205.0,Rosas,2023,Hogares,Total hogares,11122
20.0,San Blas-Canillejas,206.0,Rejas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"36,27808681"
20.0,San Blas-Canillejas,206.0,Rejas,2024,Habitantes,Número Habitantes,18196
20.0,San Blas-Canillejas,206.0,Rejas,2023,Hogares,Total hogares,6963
20.0,San Blas-Canillejas,207.0,Canillejas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"187,4131564"
20.0,San Blas-Canillejas,207.0,Canillejas,2024,Habitantes,Número Habitantes,29943
20.0,San Blas-Canillejas,207.0,Canillejas,2023,Hogares,Total hogares,11156
20.0,San Blas-Canillejas,208.0,El Salvador,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"60,92229137"
20.0,San Blas-Canillejas,208.0,El Salvador,2024,Habitantes,Número Habitantes,11454
20.0,San Blas-Canillejas,208.0,El Salvador,2023,Hogares,Total hogares,4374
21.0,Barajas,211.0,Alameda de Osuna,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"97,84374538"
21.0,Barajas,211.0,Alameda de Osuna,2024,Habitantes,Número Habitantes,19875
21.0,Barajas,211.0,Alameda de Osuna,2023,Hogares,Total hogares,7458
21.0,Barajas,212.0,Aeropuerto,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"0,657005417"
21.0,Barajas,212.0,Aeropuerto,2024,Habitantes,Número Habitantes,1949
21.0,Barajas,212.0,Aeropuerto,2023,Hogares,Total hogares,702
21.0,Barajas,213.0,Casco Histórico de Barajas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"138,7877685"
21.0,Barajas,213.0,Casco Histórico de Barajas,2024,Habitantes,Número Habitantes,7625
21.0,Barajas,213.0,Casco Histórico de Barajas,2023,Hogares,Total hogares,3187
21.0,Barajas,214.0,Timón,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"25,84194732"
21.0,Barajas,214.0,Timón,2024,Habitantes,Número Habitantes,12400
21.0,Barajas,214.0,Timón,2023,Hogares,Total hogares,4520
21.0,Barajas,215.0,Corralejos,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"16,61423221"
21.0,Barajas,215.0,Corralejos,2024,Habitantes,Número Habitantes,7763
21.0,Barajas,215.0,Corralejos,2023,Hogares,Total hogares,2651
