nombre,postal,calle,cocina,lat,lon,wheelchair
Cantina,28050,Calle del Príncipe Carlos,,40.4936118,-3.6554348,
El Rincón de las Tablas,,,,40.4958129,-3.6755645,
Bar-Restaurante La Parada,,,,40.4512504,-3.5813898,
Bar los Arcos,,,,40.4512553,-3.5815503,
El Rosario,,,,40.4829998,-3.6940691,
El Escondite Jamonal,,,,40.4833027,-3.6958009,
El Oso,,,,40.5059739,-3.6572587,
Ôven,,,,40.5045383,-3.6748903,
La Lola,,,,40.5059631,-3.6746957,
El Barracón,,Calle de Nuestra Señora de Valverde,,40.504532,-3.6855922,
Vips,,,international,40.4968493,-3.6665137,
Ginos,,,italian,40.4969066,-3.6663936,
Cafetería Globcafé,,,,40.4828907,-3.667816,
La Fragua Del Pinar,,Calle de Caleruega,regional,40.4825647,-3.6705259,
Ni Hao,28033,Calle de Arturo Soria,chinese,40.4817015,-3.6659151,
La Tagliatella,28050,Avenida de Manoteras,,40.4862506,-3.6655135,
La Castafiore,,,,40.4230858,-3.6935468,limited
Finca Lucero Celebraciones,,,,40.4708871,-3.583035,
Finca Lucero,,,italian,40.4705945,-3.582929,
El Porche,,,,40.4708744,-3.5826133,
Can Punyetes,,,,40.4159664,-3.710711,
Bar Restaurante El Paleto,28009,Calle del Alcalde Sáinz de Baranda,spanish,40.4164723,-3.6717472,
Magaly,,,,40.4411054,-3.6564894,
La Lupa,,,,40.4415091,-3.663289,
Miguelón,,,peruvian,40.4366702,-3.6419218,
Los Parros,,,,40.4366606,-3.6436812,
El Rincón de E&C,,,,40.4377156,-3.6444047,
d'casa,,,,40.4410967,-3.6440189,
Sake Dining Himawari,,,japanese,40.4226068,-3.6932565,
Vips Beatriz,,,international,40.4304667,-3.6834992,
Carbón,,Calle de Juan Bravo,spanish,40.4327522,-3.6781495,
El Gato,,,,40.438892,-3.6632499,
El olvido,,,,40.4605477,-3.6868119,
Mawey,28010,Calle de Olid,mexican,40.4317789,-3.702372,
Casa Patas,28012,Calle de los Cañizares,spanish,40.4127198,-3.7017271,
Casa de Córdoba,,,regional,40.4551315,-3.6705485,
Masa Naomi,28020,Calle de Ávila,japanese,40.4526218,-3.7006244,
La NiÑata cervecería,28049,Calle del Monasterio de Sobrado,,40.5091941,-3.6927889,
El Peregrino,,Avenida del Monasterio de El Escorial,galician,40.5043246,-3.7069933,
Asador Lekeitio,,,regional,40.4548553,-3.67212,limited
Mayte Commodore,,,,40.4457819,-3.6855307,
Royal Thai,28050,Calle de Frómista,thai,40.5113157,-3.6711103,
Ninja Ramen,28004,Calle de Barceló,japanese,40.4264788,-3.70103,
Ría del Sella,,,,40.4791886,-3.5813703,
Gainza,,,,40.3478745,-3.6938322,
Peña Francia,,"Alcocer, 23",spanish,40.3492857,-3.6997727,
El Asador de Enrique,,,,40.348488,-3.7018541,
Restaurante Los Amigos,,,,40.4511971,-3.5833598,
Restaurante Casa Luis,,,,40.4514584,-3.5818492,
Pepe's Mesón Restaurante,,,,40.4828587,-3.6704199,
La Negra Tomasa,,,cuban,40.4158435,-3.702398,yes
La Parrilla Del Pinar,28033,Calle de Caleruega,,40.4833104,-3.6676942,
,,,,40.4472205,-3.7030843,
Gallardo,,,,40.3548451,-3.6995041,
Casa Conel,,,,40.3543029,-3.6986993,
Renato,,,,40.3506214,-3.7044437,
Museo del Jamón,,,spanish,40.4163433,-3.7056737,no
Chiquita,,,,40.4158038,-3.7060361,no
Botín,,Calle de Cuchilleros,,40.4141745,-3.707981,limited
La Taberna de la Daniela,,Calle de Cuchilleros,,40.4144651,-3.7079513,no
Las Cuevas de Luis Candelas,,Calle de la Cava de San Miguel,,40.4148583,-3.7081461,limited
